,Date,Team,Opponent,W/L,Margin,POSS,OPP_POSS,PPP,OPP_PPP,3PA%,OPP_3PA%,FTA%,OPP_FTA%,ORB%,DRB%,REB%,REB,TO%,OPP_TO%,FGA,FG%,OPP_FGA,OPP_FG%,3PA,3P%,OPP_3PA,OPP_3P%,FTA,FT%,OPP_FTA,OPP_FT%
102,2023-06-01,MIN,CON,L,-5,73.4,74.7,1.15,1.2,31.7,32.4,43.3,15.5,31.0,71.9,52.5,32-29,19.2,14.9,27-60,45.0,36-71,50.7,8-19,42.1,7-23,30.4,22-26,84.6,10-11,90.9
103,2023-06-03,MIN,WAS,W,2,76.3,75.0,1.05,1.04,38.1,42.2,27.0,19.7,22.6,82.0,55.7,39-31,21.0,10.7,28-63,44.4,28-71,39.4,9-24,37.5,9-30,30.0,15-17,88.2,13-14,92.9
104,2023-06-09,MIN,IND,L,-2,75.6,76.5,0.92,0.93,25.4,29.0,31.8,18.8,17.6,84.2,52.8,38-34,17.3,14.5,24-63,38.1,28-69,40.6,5-16,31.2,6-20,30.0,16-20,80.0,9-13,69.2
105,2023-06-11,MIN,LAS,W,5,78.7,78.3,1.17,1.1,38.8,41.8,37.3,22.4,25.0,93.8,59.4,38-26,15.4,12.8,30-67,44.8,32-67,47.8,7-26,26.9,9-28,32.1,24-25,96.0,13-15,86.7
106,2023-06-16,MIN,LAS,W,5,71.0,71.1,1.08,1.01,35.8,43.3,47.2,26.7,14.8,83.3,50.9,29-28,19.7,16.9,27-53,50.9,26-60,43.3,6-19,31.6,9-26,34.6,17-25,68.0,11-16,68.8
107,2023-06-18,MIN,LVA,L,-31,75.8,75.5,0.83,1.24,32.0,40.5,12.0,20.3,23.8,82.0,51.8,42-39,13.3,6.7,25-75,33.3,35-74,47.3,4-24,16.7,10-30,33.3,8-9,88.9,13-15,86.7
108,2023-06-20,MIN,LAS,W,6,74.1,76.2,0.91,0.8,37.3,41.9,20.9,16.1,15.4,87.9,48.6,35-37,13.5,22.4,26-67,38.8,23-62,37.1,6-25,24.0,8-26,30.8,9-14,64.3,7-10,70.0
109,2023-06-22,MIN,CON,L,-21,78.1,75.6,0.87,1.19,29.0,41.7,25.0,48.3,27.3,75.8,48.0,37-40,11.5,18.7,24-76,31.6,27-60,45.0,4-22,18.2,12-25,48.0,16-19,84.2,23-29,79.3
110,2023-06-27,MIN,SEA,W,11,82.2,76.0,1.27,1.24,26.0,41.9,19.5,18.9,19.4,80.0,53.5,38-33,9.8,9.3,41-77,53.2,34-74,46.0,8-20,40.0,13-31,41.9,14-15,93.3,12-14,85.7
111,2023-06-29,MIN,SEA,W,2,86.4,93.5,1.15,1.04,34.2,31.0,32.9,22.6,16.7,69.0,42.9,36-48,11.6,19.4,35-76,46.0,34-84,40.5,9-26,34.6,13-26,50.0,20-25,80.0,16-19,84.2
112,2023-07-01,MIN,PHO,W,10,79.4,76.7,1.09,1.0,26.5,32.2,32.4,30.5,21.2,71.9,46.2,30-35,15.2,29.0,31-68,45.6,30-59,50.8,6-18,33.3,6-19,31.6,18-22,81.8,10-18,55.6
113,2023-07-05,MIN,IND,W,7,79.6,78.9,1.14,1.06,34.5,22.9,58.6,20.0,28.6,64.3,46.4,26-30,22.8,20.5,27-58,46.6,33-70,47.1,7-20,35.0,4-16,25.0,29-34,85.3,13-14,92.9
